user_name,user_location,user_friend_count,user_review_count,user_elite,user_yelp_age,user_review_votes,user_url,user_5star,user_4star,user_3star,user_2star,user_1star
Sam B.,"Rocklin, CA",0,2,0,7/1/2018,0,https://www.yelp.com/user_details?userid=MSwXUNs9ztCKhapdrcUQDg,0,0,0,0,0
Hilda W.,"Old North Sacramento, CA",35,11,0,6/1/2012,22,https://www.yelp.com/user_details?userid=m3Iphz5vttCdtn-wDPAKdQ,8,3,0,0,0
rebecca w.,"Sacramento, CA",38,49,1,7/1/2008,163,https://www.yelp.com/user_details?userid=dsdR2Wfxj42iHTslu0m8LA,9,24,10,6,0
Christopher B.,"Rancho Cordova, CA",254,17,0,2/1/2014,8,https://www.yelp.com/user_details?userid=phXZ7VvW_8i8f5os8NlLTw,16,1,0,0,0
Robert AYCE" Y.","Sacramento, CA",40,843,1,8/1/2009,1334,https://www.yelp.com/user_details?userid=KFaUuuvfw-6rAbTzuYwU0g,114,284,305,118,22
Tiffany M.,"Sacramento, CA",352,489,1,6/1/2008,914,https://www.yelp.com/user_details?userid=t-JbFC1Oxg5Eqxuek8H_0Q,206,176,62,35,10
Chasity B.,"Dixon, CA",0,2,0,2/1/2015,0,https://www.yelp.com/user_details?userid=cBIqKUWH25M3TmFOW-lGxQ,0,0,0,0,0
Tim L.,"Sacramento, CA",0,8,0,2/1/2016,5,https://www.yelp.com/user_details?userid=0p7Np9axpbYFzjQpKSuB1w,7,0,0,0,1
Justin M.,"Clovis, CA",0,44,0,4/1/2013,56,https://www.yelp.com/user_details?userid=xVHgpwXuTYPcjmQXVRYfeQ,19,7,11,6,1
Annie illiterate and insouciant" B.","Carmichael, CA",115,76,0,11/1/2010,178,https://www.yelp.com/user_details?userid=HjBf9qUwzlTGU_3WsCzq0Q,36,22,6,9,3
Elizabeth Liz" W.","Sacramento, CA",186,28,0,11/1/2012,8,https://www.yelp.com/user_details?userid=Tghnc5BG-bslqV_6LUBNtQ,9,13,5,0,1
Maribel C.,"Elk Grove, CA",0,4,0,9/1/2017,2,https://www.yelp.com/user_details?userid=GFySZLAA59VSJ-W8XEbHng,3,1,0,0,0
Jc Good food good service hunter" C.","Sacramento, CA",1,11,0,5/1/2012,9,https://www.yelp.com/user_details?userid=moRpzRzLpwMqC7Mj13_WKA,2,2,1,4,2
Tammy L.,"Kansas City, MO",380,133,1,1/1/2014,255,https://www.yelp.com/user_details?userid=IpvssHjj-IH4M5Z7xD1Ucg,52,49,23,5,4
Tina C.,"Rancho Cordova, CA",8,19,0,10/1/2008,22,https://www.yelp.com/user_details?userid=hLvjbQv3s_fmE8fVjWM4Hw,12,4,1,0,2
Lily W.,"San Diego, CA",0,37,0,4/1/2012,45,https://www.yelp.com/user_details?userid=-1dQmyOuFVuQJagi2RXEDg,20,0,0,1,16
Dcn C.,"St. George, UT",0,10,0,3/1/2017,0,https://www.yelp.com/user_details?userid=dDW_lu8MUJe2fKFrSHzcKg,9,0,1,0,0
Erin E.,"West Henrietta, NY",1,3,0,3/1/2012,1,https://www.yelp.com/user_details?userid=DtZq5vCRVRRj_K939wqkIg,0,0,0,0,0
Bob C.,"Sacramento, CA",22,10,0,6/1/2013,10,https://www.yelp.com/user_details?userid=UEqT7WcoFcuahGEyvjDLHQ,3,1,1,3,2
Rich Weezy" H.","Sacramento, CA",65,288,0,2/1/2011,355,https://www.yelp.com/user_details?userid=_xehE3yimT2kn2XofCoH5Q,69,150,49,19,1
Jason M.,"Redding, CA",7,11,0,4/1/2012,17,https://www.yelp.com/user_details?userid=70o6AxJvucsUa5g7O7QPsQ,6,3,1,0,1
Deron C.,"Suisun City, CA",65,2,0,2/1/2013,0,https://www.yelp.com/user_details?userid=13G7y8oxgDIzHQLmHjnDVQ,0,0,0,0,0
Sonny H.,"Sacramento, CA",42,124,0,4/1/2014,144,https://www.yelp.com/user_details?userid=I6CEVGQn2ZvaSuCwV80PnA,53,42,16,11,2
Haley W.,"Los Angeles, CA",81,17,0,7/1/2014,21,https://www.yelp.com/user_details?userid=tXtFWH6Y0niY49_eyK05gA,8,0,1,4,4
Rachel R.,"Sacramento, CA",122,2,0,2/1/2014,2,https://www.yelp.com/user_details?userid=9BtmwAEn-YSDS4BXoAKaWQ,0,0,0,0,0
H P.,"Sacramento, CA",0,4,0,7/1/2018,0,https://www.yelp.com/user_details?userid=-bpUeyvNX4LYaTcCdzzkfw,2,1,0,0,1
Bonnie H.,"Sacramento, CA",99,5,0,4/1/2013,5,https://www.yelp.com/user_details?userid=zwFLPZGtY08f2tKxp-WX2Q,3,2,0,0,0
Lyn G.,"Sacramento, CA",123,135,1,6/1/2013,187,https://www.yelp.com/user_details?userid=YWG7tzYU-rTXfUzrks-Okw,50,47,19,11,8
Marilyn rondidog" C.","Sacramento, CA",0,7,0,5/1/2008,12,https://www.yelp.com/user_details?userid=lXuG1cmeAkskWlcazHLLlg,3,0,1,2,1
Brad T.,"Costa Mesa, CA",63,10,0,12/1/2013,2,https://www.yelp.com/user_details?userid=Ntmqu3dAcGp0eaqTRRkV7Q,6,1,0,1,2
Ty S.,"Annapolis, MD",7,113,1,10/1/2014,112,https://www.yelp.com/user_details?userid=df70jsdf0t9P92Ks4MsJxQ,18,57,34,3,1
